colour	x	key	showSelectedlegendcolour	showSelected2	group
#00BFC4	-2.92153454711661	1	prediction	0	1
#00BFC4	-2.92153454711661	1	prediction	1	2
#00BFC4	-2.92153454711661	1	prediction	2	3
#00BFC4	-2.92153454711661	1	prediction	3	4
#00BFC4	-2.92153454711661	1	prediction	4	5
#00BFC4	-2.92153454711661	1	prediction	5	6
#00BFC4	-2.92153454711661	1	prediction	6	7
#00BFC4	-2.92153454711661	1	prediction	7	8
#00BFC4	-2.92153454711661	1	prediction	8	9
#00BFC4	-2.92153454711661	1	prediction	9	10
#00BFC4	-2.92153454711661	1	prediction	10	11
#00BFC4	-2.92153454711661	1	prediction	11	12
#00BFC4	-2.92153454711661	1	prediction	12	13
#00BFC4	-2.92153454711661	1	prediction	13	14
#00BFC4	-2.92153454711661	1	prediction	14	15
#00BFC4	-2.92153454711661	1	prediction	15	16
#00BFC4	-2.92153454711661	1	prediction	16	17
#00BFC4	-2.92153454711661	1	prediction	17	18
#00BFC4	-2.92153454711661	1	prediction	18	19
#00BFC4	-2.92153454711661	1	prediction	19	20
#00BFC4	-2.92153454711661	1	prediction	20	21
#00BFC4	-2.92153454711661	1	prediction	21	22
#00BFC4	-2.92153454711661	1	prediction	22	23
#00BFC4	-2.92153454711661	1	prediction	23	24
#00BFC4	-2.92153454711661	1	prediction	24	25
#00BFC4	-2.92153454711661	1	prediction	25	26
#00BFC4	-2.92153454711661	1	prediction	26	27
#00BFC4	-2.92153454711661	1	prediction	27	28
#00BFC4	-2.92153454711661	1	prediction	28	29
#00BFC4	-2.92153454711661	1	prediction	29	30
#00BFC4	-2.92153454711661	1	prediction	30	31
#00BFC4	-2.92153454711661	1	prediction	31	32
#00BFC4	-2.92153454711661	1	prediction	32	33
#00BFC4	-2.92153454711661	1	prediction	33	34
#00BFC4	-2.92153454711661	1	prediction	34	35
#00BFC4	-2.92153454711661	1	prediction	35	36
#00BFC4	-2.92153454711661	1	prediction	36	37
#00BFC4	-2.92153454711661	1	prediction	37	38
#00BFC4	-2.92153454711661	1	prediction	38	39
#00BFC4	-2.92153454711661	1	prediction	39	40
#00BFC4	-2.92153454711661	1	prediction	40	41
#00BFC4	-2.91965800104663	1	prediction	0	42
#00BFC4	-2.91965800104663	1	prediction	1	43
#00BFC4	-2.91965800104663	1	prediction	2	44
#00BFC4	-2.91965800104663	1	prediction	3	45
#00BFC4	-2.91965800104663	1	prediction	4	46
#00BFC4	-2.91965800104663	1	prediction	5	47
#00BFC4	-2.91965800104663	1	prediction	6	48
#00BFC4	-2.91965800104663	1	prediction	7	49
#00BFC4	-2.91965800104663	1	prediction	8	50
#00BFC4	-2.91965800104663	1	prediction	9	51
#00BFC4	-2.91965800104663	1	prediction	10	52
#00BFC4	-2.91965800104663	1	prediction	11	53
#00BFC4	-2.91965800104663	1	prediction	12	54
#00BFC4	-2.91965800104663	1	prediction	13	55
#00BFC4	-2.91965800104663	1	prediction	14	56
#00BFC4	-2.91965800104663	1	prediction	15	57
#00BFC4	-2.91965800104663	1	prediction	16	58
#00BFC4	-2.91965800104663	1	prediction	17	59
#00BFC4	-2.91965800104663	1	prediction	18	60
#00BFC4	-2.91965800104663	1	prediction	19	61
#00BFC4	-2.91965800104663	1	prediction	20	62
#00BFC4	-2.91965800104663	1	prediction	21	63
#00BFC4	-2.91965800104663	1	prediction	22	64
#00BFC4	-2.91965800104663	1	prediction	23	65
#00BFC4	-2.91965800104663	1	prediction	24	66
#00BFC4	-2.91965800104663	1	prediction	25	67
#00BFC4	-2.91965800104663	1	prediction	26	68
#00BFC4	-2.91965800104663	1	prediction	27	69
#00BFC4	-2.91965800104663	1	prediction	28	70
#00BFC4	-2.91965800104663	1	prediction	29	71
#00BFC4	-2.91965800104663	1	prediction	30	72
#00BFC4	-2.91965800104663	1	prediction	31	73
#00BFC4	-2.91965800104663	1	prediction	32	74
#00BFC4	-2.91965800104663	1	prediction	33	75
#00BFC4	-2.91965800104663	1	prediction	34	76
#00BFC4	-2.91965800104663	1	prediction	35	77
#00BFC4	-2.91965800104663	1	prediction	36	78
#00BFC4	-2.91965800104663	1	prediction	37	79
#00BFC4	-2.91965800104663	1	prediction	38	80
#00BFC4	-2.91965800104663	1	prediction	39	81
#00BFC4	-2.91965800104663	1	prediction	40	82
#00BFC4	-2.86001278599724	1	prediction	0	83
#00BFC4	-2.86001278599724	1	prediction	1	84
#00BFC4	-2.86001278599724	1	prediction	2	85
#00BFC4	-2.86001278599724	1	prediction	3	86
#00BFC4	-2.86001278599724	1	prediction	4	87
#00BFC4	-2.86001278599724	1	prediction	5	88
#00BFC4	-2.86001278599724	1	prediction	6	89
#00BFC4	-2.86001278599724	1	prediction	7	90
#00BFC4	-2.86001278599724	1	prediction	8	91
#00BFC4	-2.86001278599724	1	prediction	9	92
#00BFC4	-2.86001278599724	1	prediction	10	93
#00BFC4	-2.86001278599724	1	prediction	11	94
#00BFC4	-2.86001278599724	1	prediction	12	95
#00BFC4	-2.86001278599724	1	prediction	13	96
#00BFC4	-2.86001278599724	1	prediction	14	97
#00BFC4	-2.86001278599724	1	prediction	15	98
#00BFC4	-2.86001278599724	1	prediction	16	99
#00BFC4	-2.86001278599724	1	prediction	17	100
#00BFC4	-2.86001278599724	1	prediction	18	101
#00BFC4	-2.86001278599724	1	prediction	19	102
#00BFC4	-2.86001278599724	1	prediction	20	103
#00BFC4	-2.86001278599724	1	prediction	21	104
#00BFC4	-2.86001278599724	1	prediction	22	105
#00BFC4	-2.86001278599724	1	prediction	23	106
#00BFC4	-2.86001278599724	1	prediction	24	107
#00BFC4	-2.86001278599724	1	prediction	25	108
#00BFC4	-2.86001278599724	1	prediction	26	109
